Year,Round,Race,PoleTime,TopSpeed,AvgSpeed,FullThrottleTime,MostCommonGear,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,type,length_km,drs_zones_prev,active_aero_zones,tyre_wear,downforce_req,power_sensitivity,turns,longest_straight_km,reg,new_reg
2024,3,Australian Grand Prix,75.915,327,247.6478873,55.919,8,18.74230769,34.41410256,53.58974359,1024.023077,TRUE,Street-Park,5.278,3,4,Medium,Medium,7,14,1.3,B,N
2024,4,Japanese Grand Prix,88.197,324,236.0782609,58.841,6,17.53947368,26.71052632,58.10526316,1013.840789,FALSE,Permanent,5.807,1,3,Low,High,6,18,1.2,B,N
2024,5,Chinese Grand Prix,93.66,336,208.3305785,53.002,3,22.09418605,33.88837209,55.43023256,1007.45,FALSE,Permanent,5.451,2,3,Medium,Medium,8,16,1.17,B,N
2024,6,Miami Grand Prix,87.241,338,220.597561,51.76,3,29.06363636,47.29480519,54.87012987,1015.520779,FALSE,Street-Park,5.412,3,4,Medium,Medium,7,19,1.2,B,N
2024,7,Emilia Romagna Grand Prix,74.746,340,235.5663082,52.12,7,24.188,41.55866667,43.25333333,1008.014667,FALSE,Permanent,4.909,1,2,Medium,Medium-High,6,19,1.1,B,N
2024,8,Monaco Grand Prix,70.27,288,164.7620818,31.281,2,21.24210526,44.72631579,60.85526316,1016.865789,FALSE,Street,3.337,1,1,Low,High,3,19,0.54,B,N
2024,9,Canadian Grand Prix,71.742,328,217.3754513,45.2,7,20.55384615,31.11666667,66.88461538,1000.762821,TRUE,Street-Park,4.361,2,3,Low,Low,8,13,1.19,B,N
2024,10,Spanish Grand Prix,71.383,325,233.6592593,48.916,7,24.08947368,36.53552632,68.35526316,1003.706579,FALSE,Permanent,4.657,2,3,High,Medium-High,6,12,1.05,B,N
2024,11,Austrian Grand Prix,64.314,324,240.7991632,45.123,8,31.32894737,46.10789474,37.69736842,938.5013158,FALSE,Permanent,4.318,3,4,Medium,Low-Medium,8,10,0.92,B,N
2024,12,British Grand Prix,85.819,325,248.0498442,58.721,8,13.69764706,21.21529412,74.38823529,987.3494118,TRUE,Permanent,5.891,2,4,High,Medium-High,7,18,0.76,B,N
2024,13,Hungarian Grand Prix,75.227,313,210.2112676,39.164,4,24.3752381,30.31333333,61.80952381,984.012381,TRUE,Permanent,4.381,1,2,Medium,High,4,14,0.91,B,N
2024,14,Belgian Grand Prix,113.159,319,221.3,66.041,8,18.00126582,22.02278481,92.70886076,966.5139241,TRUE,Permanent,7.004,2,3,Medium,Medium,8,19,1.05,B,N
2024,15,Dutch Grand Prix,69.673,329,220.4552529,39.641,7,24.48101266,30.14050633,66.32911392,1002.44557,FALSE,Permanent,4.259,2,3,High,High,5,14,0.69,B,N
2024,16,Italian Grand Prix,79.327,347,263.4836601,58.638,8,33.44556962,48.73037975,36.83544304,995.8670886,FALSE,Permanent,5.793,2,4,Low,Low,10,11,1.22,B,N
2024,17,Azerbaijan Grand Prix,101.365,339,209.7719298,60.677,8,27.02435897,36.74871795,36.51282051,1016.161538,FALSE,Street,6.003,2,4,Low,Medium,9,20,2.2,B,N
2024,18,Singapore Grand Prix,89.525,313,198.2478134,47.359,3,29.43333333,31.96344086,79.03225806,1007.590323,FALSE,Street,4.94,3,4,Medium,High,5,19,0.8,B,N
2024,19,United States Grand Prix,92.33,327,212.2985507,53.443,3,28.56133333,38.21733333,38.65333333,1005.437333,FALSE,Permanent,5.513,2,3,High,Medium-High,7,20,1.02,B,N
2024,20,Mexico City Grand Prix,75.946,349,202.2808219,37.079,3,21.96296296,39.41234568,40.5308642,784.7111111,FALSE,Permanent,4.304,3,4,Low,Medium-High,8,17,1.29,B,N
2024,21,São Paulo Grand Prix,83.405,308,184.5,27.401,3,20.27196262,23.37943925,93.35514019,927.6383178,TRUE,Permanent,4.309,2,3,Medium,Medium,7,15,1.23,B,N
2024,22,Las Vegas Grand Prix,92.312,347,239.9546742,63.241,8,11.83469388,14.06530612,26.75510204,941.3316327,FALSE,Street,6.12,3,5,Low,Low,9,17,1.92,B,N
2024,23,Qatar Grand Prix,80.52,324,240.6092715,57.28,7,18.80769231,21.72051282,59.52564103,1017.724359,FALSE,Permanent,5.38,2,3,Very High,Medium-High,7,16,1.07,B,N
2024,24,Abu Dhabi Grand Prix,82.595,324,228.103125,54.401,7,25.81111111,29.67283951,65.79012346,1017.335802,FALSE,Permanent,5.281,2,3,Low,Medium,7,16,1.14,B,N
2025,1,Australian Grand Prix,75.096,329,250.118705,42.282,8,30.336,40.50133333,46.14666667,1009.376,FALSE,Street-Park,5.278,3,4,Medium,Medium,7,14,1.3,B,N
2025,2,Chinese Grand Prix,90.641,330,214.7771084,19.241,3,26.13246753,38.67012987,13.81818182,1015.151948,FALSE,Permanent,5.451,2,3,Medium,Medium,8,16,1.17,B,N
2025,3,Japanese Grand Prix,86.983,325,240.0216718,59.121,6,14.69529412,32.14117647,58.62352941,1013.291765,FALSE,Permanent,5.807,1,3,Low,High,6,18,1.2,B,N
2025,4,Bahrain Grand Prix,89.841,315,214.4255319,50.92,6,26.29655172,30.89425287,57.11494253,1004.088506,FALSE,Permanent,5.412,3,4,High,Medium,7,15,1.09,B,N
2025,5,Saudi Arabian Grand Prix,87.294,338,251.2264151,66.362,8,29.5755814,37.2255814,57.56976744,1006.3,FALSE,Street,6.174,3,5,Low,Low,9,27,0.85,B,N
2025,6,Miami Grand Prix,86.204,340,223.2211838,52.801,8,27.97435897,41.01538462,63.05128205,1013.488462,FALSE,Street-Park,5.412,3,4,Medium,Medium,7,19,1.2,B,N
2025,7,Emilia Romagna Grand Prix,74.67,323,233.3726937,49.28,7,22.80090909,39.41636364,30.43636364,1008.619091,FALSE,Permanent,4.909,1,2,Medium,Medium-High,6,19,1.1,B,N
2025,8,Monaco Grand Prix,69.954,289,166.7859922,30.882,2,21.13763441,40.28709677,59.44086022,1014.924731,FALSE,Street,3.337,1,1,Low,High,3,19,0.54,B,N
2025,9,Spanish Grand Prix,71.546,328,233.095941,45.361,7,29.13636364,46.82337662,37.09090909,1005.480519,FALSE,Permanent,4.657,2,3,High,Medium-High,6,12,1.05,B,N
2025,10,Canadian Grand Prix,70.899,332,219.858209,48.079,7,21.3,43.14588235,30.69411765,1018.96,FALSE,Street-Park,4.361,2,3,Low,Low,8,13,1.19,B,N
2025,11,Austrian Grand Prix,63.971,324,242.5574468,43.238,8,27.77386364,47.19659091,33.89772727,945.3329545,FALSE,Permanent,4.318,3,4,Medium,Low-Medium,8,10,0.92,B,N
2025,12,British Grand Prix,84.892,324,244.0536278,57.918,8,20.19655172,27.43218391,72.7816092,994.8505747,FALSE,Permanent,5.891,2,4,High,Medium-High,7,18,0.76,B,N
2025,13,Belgian Grand Prix,100.562,339,247.9893048,65.721,8,22.64556962,37.72658228,54.16455696,967.7291139,FALSE,Permanent,7.004,2,3,Medium,Medium,8,19,1.05,B,N
2025,14,Hungarian Grand Prix,75.372,315,210.2518248,42.074,4,28.14880952,42.53333333,37.21428571,983.3440476,FALSE,Permanent,4.381,1,2,Medium,High,4,14,0.91,B,N
2025,15,Dutch Grand Prix,68.662,326,223.6743295,38.717,7,20.59487179,34.22820513,64.47435897,1006.151282,FALSE,Permanent,4.259,2,3,High,High,5,14,0.69,B,N
2025,16,Italian Grand Prix,78.792,348,263.0380623,60.443,8,26.60641026,42.77820513,35.82051282,998.624359,FALSE,Permanent,5.793,2,4,Low,Low,10,11,1.22,B,N
